Region of birth,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Total,957883,1122257,1266129,1052415,1107126,1130818,1042625,1062040,1031631,990553
Africa,66417,85094,117421,94710,105915,127046,101355,100374,107241,98304
Asia,342930,411722,440335,397834,399027,413312,422063,451593,429599,400548
Europe,124884,164989,146292,106566,103782,105476,88801,83850,81671,86556
North America,342383,345476,413992,339294,393196,375180,336553,333902,327771,315660
Oceania,5985,6546,7384,6101,5263,5578,5345,4980,4742,5277
South America,72057,103127,137971,106516,98549,102860,87178,86096,79401,80945
Unknown,3227,5303,2734,1394,1394,1366,1330,1245,1206,3263
