Country	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Kyrgyzstan	439	656	785	597	632	574	507	542	648	652
Laos	1147	1242	2892	2575	2198	1688	1200	956	949	923
Latvia	605	768	892	568	455	444	435	426	436	424
Lebanon	3818	4282	4083	4267	4254	3831	3487	3295	2879	2783
Lesotho	14	12	18	14	16	14	23	25	17	20
Liberia	2757	4880	6887	4102	7193	7641	4837	4151	4109	3334
Libya	185	223	271	186	285	296	355	357	315	376
Lithuania	2480	2417	1885	1361	967	1069	985	936	924	854
Luxembourg	13	35	28	39	28	30	22	24	19	40
Macau	192	133	189	178	205	158	143	130	120	106
Macedonia	775	1070	1317	1227	1107	1128	963	1078	906	895
Madagascar	54	60	72	53	77	71	80	83	79	95
Malawi	83	131	131	123	133	164	164	123	192	159
Malaysia	1987	2632	2281	2149	1945	2014	1714	2273	2605	2477
Mali	163	277	408	412	523	576	528	629	734	667
Malta	57	74	70	53	66	58	74	51	62	43
MarshallIslands	48	32	53	48	39	48	37	38	50	46
Mauritania	170	275	720	651	844	597	495	393	410	354
Mauritius	65	99	108	88	83	110	84	101	77	83
Mexico	175411	161445	173749	148640	189989	164920	139120	143446	146406	135028
MicronesiaFederatedStates	5	6	12	7	13	16	10	9	13	4
Moldova	1507	3506	3036	1356	1692	2295	1981	2258	2021	2485
Monaco	7	7	4	6	7	4	12	6	5	8
Mongolia	229	323	497	530	659	831	594	774	691	729
Montenegro	0	0	0	0	0	0	120	204	265	265
Montserrat	33	50	90	66	61	43	27	30	27	0
Morocco	4128	4411	4949	4513	4425	5447	5013	4399	3656	3336
Mozambique	59	54	78	81	69	66	53	60	94	73
Namibia	40	63	56	57	46	53	60	43	59	57
Nepal	2878	3158	3733	3472	4093	4514	7115	10166	11312	13046
Netherlands	1303	1815	1651	1368	1240	1499	1321	1085	1091	1142
NetherlandsAntilles	72	116	100	93	78	97	77	86	106	128
NewCaledonia	0	5	7	5	5	13	6	5	0	6
NewZealand	1131	1293	1100	1047	893	947	919	803	814	921
Nicaragua	4009	3305	4145	3716	3614	4137	3565	3401	3046	3048
Niger	62	126	116	97	107	183	96	96	48	37
Nigeria	9374	10597	13459	12448	12475	15253	13376	11824	13575	13840
Norway	405	423	481	343	350	407	334	339	276	335
Oman	122	101	155	103	70	74	63	60	74	73
Pakistan	12086	14926	17418	13492	19719	21555	18258	15546	14740	13251
Palau	6	8	8	11	6	16	18	7	10	16
Panama	1417	1815	2418	1916	1678	1806	1536	1374	1281	1234
PapuaNewGuinea	19	44	30	31	15	19	30	20	21	27
Paraguay	328	516	719	545	481	530	467	500	467	448
Peru	11794	15676	21718	17699	15184	16957	14247	14064	12609	12564
Philippines	57846	60746	74606	72596	54030	60029	58173	57011	57327	54446
Poland	14326	15351	17051	10355	8354	8754	7643	6863	6300	6430
Portugal	1069	1125	1409	1019	772	946	755	821	811	918
Qatar	125	174	226	138	151	134	148	193	141	191
Romania	4571	7103	7137	5802	4930	4910	4003	3882	3748	3773
Russia	17410	18055	13159	9426	11695	8238	6718	7944	9969	9753
Rwanda	163	276	502	357	378	952	489	520	592	540
SaintKitts-Nevis	299	342	458	347	363	310	339	350	311	259
SaintLucia	616	832	1212	928	946	1027	872	785	919	853
SaintVincentandtheGrenadines	400	625	756	567	568	591	576	468	503	529
Samoa	203	173	283	290	227	250	219	267	238	237
SaoTomeandPrincipe	9	8	6	7	7	11	10	9	12	6
SaudiArabia	906	1210	1542	1171	1194	1418	1263	1396	1343	1463
Senegal	769	913	1367	1024	1149	1524	1285	1424	1615	1340
Serbia	0	0	0	0	0	0	20	244	704	866
